Participant,Condition,Condition_name,SOA,Repetitions,Count,Relative
0,0,experimental (probe salient),100,48,1,0.02083333333333337
0,0,experimental (probe salient),80,48,2,0.04166666666666663
0,0,experimental (probe salient),60,64,2,0.03125
0,0,experimental (probe salient),40,64,14,0.21875
0,0,experimental (probe salient),20,96,37,0.38541666666666663
0,0,experimental (probe salient),0,96,47,0.48958333333333337
0,0,experimental (probe salient),-20,96,60,0.625
0,0,experimental (probe salient),-40,64,51,0.796875
0,0,experimental (probe salient),-60,64,57,0.890625
0,0,experimental (probe salient),-80,48,46,0.9583333333333334
0,0,experimental (probe salient),-100,48,47,0.9791666666666666
0,1,neutral (probe nonsalient),100,48,1,0.02083333333333337
0,1,neutral (probe nonsalient),80,48,0,0.0
0,1,neutral (probe nonsalient),60,64,4,0.0625
0,1,neutral (probe nonsalient),40,64,7,0.109375
0,1,neutral (probe nonsalient),20,96,34,0.35416666666666663
0,1,neutral (probe nonsalient),0,96,41,0.42708333333333337
0,1,neutral (probe nonsalient),-20,96,54,0.5625
0,1,neutral (probe nonsalient),-40,64,51,0.796875
0,1,neutral (probe nonsalient),-60,64,59,0.921875
0,1,neutral (probe nonsalient),-80,48,46,0.9583333333333334
0,1,neutral (probe nonsalient),-100,48,47,0.9791666666666666
1,0,experimental (probe salient),100,24,2,0.08333333333333337
1,0,experimental (probe salient),80,24,1,0.04166666666666663
1,0,experimental (probe salient),60,32,7,0.21875
1,0,experimental (probe salient),40,32,5,0.15625
1,0,experimental (probe salient),20,48,22,0.45833333333333337
1,0,experimental (probe salient),0,48,26,0.5416666666666667
1,0,experimental (probe salient),-20,48,32,0.6666666666666667
1,0,experimental (probe salient),-40,32,27,0.84375
1,0,experimental (probe salient),-60,32,28,0.875
1,0,experimental (probe salient),-80,24,20,0.8333333333333334
1,0,experimental (probe salient),-100,24,22,0.9166666666666666
1,1,neutral (probe nonsalient),100,24,3,0.125
1,1,neutral (probe nonsalient),80,24,2,0.08333333333333337
1,1,neutral (probe nonsalient),60,32,3,0.09375
1,1,neutral (probe nonsalient),40,32,5,0.15625
1,1,neutral (probe nonsalient),20,48,10,0.20833333333333337
1,1,neutral (probe nonsalient),0,48,21,0.4375
1,1,neutral (probe nonsalient),-20,48,28,0.5833333333333333
1,1,neutral (probe nonsalient),-40,32,28,0.875
1,1,neutral (probe nonsalient),-60,32,28,0.875
1,1,neutral (probe nonsalient),-80,24,20,0.8333333333333334
1,1,neutral (probe nonsalient),-100,24,24,1.0
2,0,experimental (probe salient),100,24,4,0.16666666666666663
2,0,experimental (probe salient),80,24,2,0.08333333333333337
2,0,experimental (probe salient),60,32,7,0.21875
2,0,experimental (probe salient),40,32,7,0.21875
2,0,experimental (probe salient),20,48,13,0.27083333333333337
2,0,experimental (probe salient),0,48,19,0.39583333333333337
2,0,experimental (probe salient),-20,48,39,0.8125
2,0,experimental (probe salient),-40,32,29,0.90625
2,0,experimental (probe salient),-60,32,27,0.84375
2,0,experimental (probe salient),-80,24,22,0.9166666666666666
2,0,experimental (probe salient),-100,24,22,0.9166666666666666
2,1,neutral (probe nonsalient),100,24,5,0.20833333333333337
2,1,neutral (probe nonsalient),80,24,4,0.16666666666666663
2,1,neutral (probe nonsalient),60,32,11,0.34375
2,1,neutral (probe nonsalient),40,32,7,0.21875
2,1,neutral (probe nonsalient),20,48,13,0.27083333333333337
2,1,neutral (probe nonsalient),0,48,24,0.5
2,1,neutral (probe nonsalient),-20,48,40,0.8333333333333334
2,1,neutral (probe nonsalient),-40,32,28,0.875
2,1,neutral (probe nonsalient),-60,32,29,0.90625
2,1,neutral (probe nonsalient),-80,24,20,0.8333333333333334
2,1,neutral (probe nonsalient),-100,24,22,0.9166666666666666
3,0,experimental (probe salient),100,48,3,0.0625
3,0,experimental (probe salient),80,48,4,0.08333333333333337
3,0,experimental (probe salient),60,64,10,0.15625
3,0,experimental (probe salient),40,64,17,0.265625
3,0,experimental (probe salient),20,96,35,0.36458333333333337
3,0,experimental (probe salient),0,96,51,0.53125
3,0,experimental (probe salient),-20,96,50,0.5208333333333333
3,0,experimental (probe salient),-40,64,46,0.71875
3,0,experimental (probe salient),-60,64,61,0.953125
3,0,experimental (probe salient),-80,48,48,1.0
3,0,experimental (probe salient),-100,48,48,1.0
3,1,neutral (probe nonsalient),100,48,3,0.0625
3,1,neutral (probe nonsalient),80,48,2,0.04166666666666663
3,1,neutral (probe nonsalient),60,64,14,0.21875
3,1,neutral (probe nonsalient),40,64,13,0.203125
3,1,neutral (probe nonsalient),20,96,40,0.41666666666666663
3,1,neutral (probe nonsalient),0,96,52,0.5416666666666667
3,1,neutral (probe nonsalient),-20,96,56,0.5833333333333333
3,1,neutral (probe nonsalient),-40,64,48,0.75
3,1,neutral (probe nonsalient),-60,64,60,0.9375
3,1,neutral (probe nonsalient),-80,48,46,0.9583333333333334
3,1,neutral (probe nonsalient),-100,48,47,0.9791666666666666
4,0,experimental (probe salient),100,48,13,0.27083333333333337
4,0,experimental (probe salient),80,48,13,0.27083333333333337
4,0,experimental (probe salient),60,64,11,0.171875
4,0,experimental (probe salient),40,64,18,0.28125
4,0,experimental (probe salient),20,96,37,0.38541666666666663
4,0,experimental (probe salient),0,96,46,0.47916666666666663
4,0,experimental (probe salient),-20,96,68,0.7083333333333333
4,0,experimental (probe salient),-40,64,53,0.828125
4,0,experimental (probe salient),-60,64,56,0.875
4,0,experimental (probe salient),-80,48,47,0.9791666666666666
4,0,experimental (probe salient),-100,48,46,0.9583333333333334
4,1,neutral (probe nonsalient),100,48,17,0.35416666666666663
4,1,neutral (probe nonsalient),80,48,12,0.25
4,1,neutral (probe nonsalient),60,64,19,0.296875
4,1,neutral (probe nonsalient),40,64,15,0.234375
4,1,neutral (probe nonsalient),20,96,29,0.30208333333333337
4,1,neutral (probe nonsalient),0,96,51,0.53125
4,1,neutral (probe nonsalient),-20,96,72,0.75
4,1,neutral (probe nonsalient),-40,64,57,0.890625
4,1,neutral (probe nonsalient),-60,64,58,0.90625
4,1,neutral (probe nonsalient),-80,48,47,0.9791666666666666
4,1,neutral (probe nonsalient),-100,48,45,0.9375
5,0,experimental (probe salient),100,48,1,0.02083333333333337
5,0,experimental (probe salient),80,48,2,0.04166666666666663
5,0,experimental (probe salient),60,64,5,0.078125
5,0,experimental (probe salient),40,64,18,0.28125
5,0,experimental (probe salient),20,96,40,0.41666666666666663
5,0,experimental (probe salient),0,96,42,0.4375
5,0,experimental (probe salient),-20,96,48,0.5
5,0,experimental (probe salient),-40,64,40,0.625
5,0,experimental (probe salient),-60,64,56,0.875
5,0,experimental (probe salient),-80,48,45,0.9375
5,0,experimental (probe salient),-100,48,47,0.9791666666666666
5,1,neutral (probe nonsalient),100,48,1,0.02083333333333337
5,1,neutral (probe nonsalient),80,48,1,0.02083333333333337
5,1,neutral (probe nonsalient),60,64,8,0.125
5,1,neutral (probe nonsalient),40,64,10,0.15625
5,1,neutral (probe nonsalient),20,96,33,0.34375
5,1,neutral (probe nonsalient),0,96,42,0.4375
5,1,neutral (probe nonsalient),-20,96,41,0.42708333333333337
5,1,neutral (probe nonsalient),-40,64,45,0.703125
5,1,neutral (probe nonsalient),-60,64,57,0.890625
5,1,neutral (probe nonsalient),-80,48,43,0.8958333333333334
5,1,neutral (probe nonsalient),-100,48,46,0.9583333333333334
6,0,experimental (probe salient),100,24,0,0.0
6,0,experimental (probe salient),80,24,0,0.0
6,0,experimental (probe salient),60,32,4,0.125
6,0,experimental (probe salient),40,32,2,0.0625
6,0,experimental (probe salient),20,48,17,0.35416666666666663
6,0,experimental (probe salient),0,48,24,0.5
6,0,experimental (probe salient),-20,48,28,0.5833333333333333
6,0,experimental (probe salient),-40,32,23,0.71875
6,0,experimental (probe salient),-60,32,31,0.96875
6,0,experimental (probe salient),-80,24,21,0.875
6,0,experimental (probe salient),-100,24,23,0.9583333333333334
6,1,neutral (probe nonsalient),100,24,1,0.04166666666666663
6,1,neutral (probe nonsalient),80,24,0,0.0
6,1,neutral (probe nonsalient),60,32,2,0.0625
6,1,neutral (probe nonsalient),40,32,7,0.21875
6,1,neutral (probe nonsalient),20,48,20,0.41666666666666663
6,1,neutral (probe nonsalient),0,48,27,0.5625
6,1,neutral (probe nonsalient),-20,48,35,0.7291666666666667
6,1,neutral (probe nonsalient),-40,32,29,0.90625
6,1,neutral (probe nonsalient),-60,32,32,1.0
6,1,neutral (probe nonsalient),-80,24,24,1.0
6,1,neutral (probe nonsalient),-100,24,24,1.0
7,0,experimental (probe salient),100,48,0,0.0
7,0,experimental (probe salient),80,48,0,0.0
7,0,experimental (probe salient),60,64,0,0.0
7,0,experimental (probe salient),40,64,5,0.078125
7,0,experimental (probe salient),20,96,25,0.26041666666666663
7,0,experimental (probe salient),0,96,46,0.47916666666666663
7,0,experimental (probe salient),-20,96,64,0.6666666666666667
7,0,experimental (probe salient),-40,64,60,0.9375
7,0,experimental (probe salient),-60,64,62,0.96875
7,0,experimental (probe salient),-80,48,47,0.9791666666666666
7,0,experimental (probe salient),-100,48,48,1.0
7,1,neutral (probe nonsalient),100,48,0,0.0
7,1,neutral (probe nonsalient),80,48,1,0.02083333333333337
7,1,neutral (probe nonsalient),60,64,1,0.015625
7,1,neutral (probe nonsalient),40,64,6,0.09375
7,1,neutral (probe nonsalient),20,96,25,0.26041666666666663
7,1,neutral (probe nonsalient),0,96,53,0.5520833333333333
7,1,neutral (probe nonsalient),-20,96,75,0.78125
7,1,neutral (probe nonsalient),-40,64,59,0.921875
7,1,neutral (probe nonsalient),-60,64,63,0.984375
7,1,neutral (probe nonsalient),-80,48,47,0.9791666666666666
7,1,neutral (probe nonsalient),-100,48,48,1.0
8,0,experimental (probe salient),100,72,25,0.3472222222222222
8,0,experimental (probe salient),80,72,21,0.29166666666666663
8,0,experimental (probe salient),60,96,28,0.29166666666666663
8,0,experimental (probe salient),40,96,43,0.44791666666666663
8,0,experimental (probe salient),20,144,73,0.5069444444444444
8,0,experimental (probe salient),0,144,79,0.5486111111111112
8,0,experimental (probe salient),-20,144,77,0.5347222222222222
8,0,experimental (probe salient),-40,96,59,0.6145833333333333
8,0,experimental (probe salient),-60,96,74,0.7708333333333334
8,0,experimental (probe salient),-80,72,55,0.7638888888888888
8,0,experimental (probe salient),-100,72,63,0.875
8,1,neutral (probe nonsalient),100,72,14,0.19444444444444442
8,1,neutral (probe nonsalient),80,72,23,0.3194444444444444
8,1,neutral (probe nonsalient),60,96,35,0.36458333333333337
8,1,neutral (probe nonsalient),40,96,33,0.34375
8,1,neutral (probe nonsalient),20,144,64,0.4444444444444444
8,1,neutral (probe nonsalient),0,144,66,0.45833333333333337
8,1,neutral (probe nonsalient),-20,144,73,0.5069444444444444
8,1,neutral (probe nonsalient),-40,96,66,0.6875
8,1,neutral (probe nonsalient),-60,96,76,0.7916666666666666
8,1,neutral (probe nonsalient),-80,72,56,0.7777777777777778
8,1,neutral (probe nonsalient),-100,72,56,0.7777777777777778
9,0,experimental (probe salient),100,48,22,0.45833333333333337
9,0,experimental (probe salient),80,48,25,0.5208333333333333
9,0,experimental (probe salient),60,64,28,0.4375
