Participant,Condition,Condition_name,SOA,Repetitions,Count,Relative
0,0,experimental (probe salient),100,24,1,0.04166666666666696
0,0,experimental (probe salient),80,24,0,0.0
0,0,experimental (probe salient),60,32,2,0.0625
0,0,experimental (probe salient),40,32,6,0.1875
0,0,experimental (probe salient),20,48,13,0.27083333333333304
0,0,experimental (probe salient),0,48,25,0.5208333333333329
0,0,experimental (probe salient),-20,48,32,0.666666666666667
0,0,experimental (probe salient),-40,32,29,0.90625
0,0,experimental (probe salient),-60,32,32,1.0
0,0,experimental (probe salient),-80,24,23,0.9583333333333333
0,0,experimental (probe salient),-100,24,24,1.0
0,1,neutral (probe nonsalient),100,24,1,0.04166666666666696
0,1,neutral (probe nonsalient),80,24,3,0.125
0,1,neutral (probe nonsalient),60,32,7,0.21875
0,1,neutral (probe nonsalient),40,32,3,0.09375
0,1,neutral (probe nonsalient),20,48,19,0.39583333333333304
0,1,neutral (probe nonsalient),0,48,30,0.625
0,1,neutral (probe nonsalient),-20,48,39,0.8125
0,1,neutral (probe nonsalient),-40,32,28,0.875
0,1,neutral (probe nonsalient),-60,32,31,0.96875
0,1,neutral (probe nonsalient),-80,24,24,1.0
0,1,neutral (probe nonsalient),-100,24,24,1.0
1,0,experimental (probe salient),100,24,2,0.08333333333333304
1,0,experimental (probe salient),80,24,0,0.0
1,0,experimental (probe salient),60,32,8,0.25
1,0,experimental (probe salient),40,32,9,0.28125
1,0,experimental (probe salient),20,48,18,0.375
1,0,experimental (probe salient),0,48,25,0.5208333333333329
1,0,experimental (probe salient),-20,48,28,0.5833333333333329
1,0,experimental (probe salient),-40,32,25,0.78125
1,0,experimental (probe salient),-60,32,24,0.75
1,0,experimental (probe salient),-80,24,21,0.875
1,0,experimental (probe salient),-100,24,23,0.9583333333333333
1,1,neutral (probe nonsalient),100,24,1,0.04166666666666696
1,1,neutral (probe nonsalient),80,24,1,0.04166666666666696
1,1,neutral (probe nonsalient),60,32,11,0.34375
1,1,neutral (probe nonsalient),40,32,11,0.34375
1,1,neutral (probe nonsalient),20,48,19,0.39583333333333304
1,1,neutral (probe nonsalient),0,48,29,0.6041666666666671
1,1,neutral (probe nonsalient),-20,48,30,0.625
1,1,neutral (probe nonsalient),-40,32,26,0.8125
1,1,neutral (probe nonsalient),-60,32,28,0.875
1,1,neutral (probe nonsalient),-80,24,22,0.9166666666666667
1,1,neutral (probe nonsalient),-100,24,21,0.875
2,0,experimental (probe salient),100,24,4,0.16666666666666696
2,0,experimental (probe salient),80,24,6,0.25
2,0,experimental (probe salient),60,32,1,0.03125
2,0,experimental (probe salient),40,32,4,0.125
2,0,experimental (probe salient),20,48,15,0.3125
2,0,experimental (probe salient),0,48,23,0.4791666666666671
2,0,experimental (probe salient),-20,48,33,0.6875
2,0,experimental (probe salient),-40,32,29,0.90625
2,0,experimental (probe salient),-60,32,30,0.9375
2,0,experimental (probe salient),-80,24,24,1.0
2,0,experimental (probe salient),-100,24,23,0.9583333333333333
2,1,neutral (probe nonsalient),100,24,6,0.25
2,1,neutral (probe nonsalient),80,24,7,0.29166666666666696
2,1,neutral (probe nonsalient),60,32,9,0.28125
2,1,neutral (probe nonsalient),40,32,13,0.40625
2,1,neutral (probe nonsalient),20,48,27,0.5625
2,1,neutral (probe nonsalient),0,48,36,0.75
2,1,neutral (probe nonsalient),-20,48,46,0.9583333333333333
2,1,neutral (probe nonsalient),-40,32,32,1.0
2,1,neutral (probe nonsalient),-60,32,31,0.96875
2,1,neutral (probe nonsalient),-80,24,24,1.0
2,1,neutral (probe nonsalient),-100,24,23,0.9583333333333333
3,0,experimental (probe salient),100,24,2,0.08333333333333304
3,0,experimental (probe salient),80,24,2,0.08333333333333304
3,0,experimental (probe salient),60,32,2,0.0625
3,0,experimental (probe salient),40,32,2,0.0625
3,0,experimental (probe salient),20,48,16,0.33333333333333304
3,0,experimental (probe salient),0,48,16,0.33333333333333304
3,0,experimental (probe salient),-20,48,32,0.666666666666667
3,0,experimental (probe salient),-40,32,29,0.90625
3,0,experimental (probe salient),-60,32,26,0.8125
3,0,experimental (probe salient),-80,24,24,1.0
3,0,experimental (probe salient),-100,24,20,0.833333333333333
3,1,neutral (probe nonsalient),100,24,4,0.16666666666666696
3,1,neutral (probe nonsalient),80,24,1,0.04166666666666696
3,1,neutral (probe nonsalient),60,32,5,0.15625
3,1,neutral (probe nonsalient),40,32,7,0.21875
3,1,neutral (probe nonsalient),20,48,19,0.39583333333333304
3,1,neutral (probe nonsalient),0,48,28,0.5833333333333329
3,1,neutral (probe nonsalient),-20,48,36,0.75
3,1,neutral (probe nonsalient),-40,32,27,0.84375
3,1,neutral (probe nonsalient),-60,32,30,0.9375
3,1,neutral (probe nonsalient),-80,24,23,0.9583333333333333
