"Participant","Condition","Condition_name","SOA","Repetitions","Count","Relative"
0,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",-100,20,20,1
0,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",-50,20,18,0.9
0,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",0,40,26,0.65
0,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",50,20,1,0.05
0,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",100,20,0,0
0,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",-100,20,20,1
0,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",-50,20,19,0.95
0,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",0,40,30,0.75
0,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",50,20,12,0.6
0,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",100,20,6,0.3
0,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",-100,20,20,1
0,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",-50,20,19,0.95
0,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",0,40,36,0.9
0,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",50,20,17,0.85
0,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",100,20,11,0.55
0,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",-100,20,20,1
0,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",-50,20,20,1
0,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",0,40,34,0.85
0,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",50,20,17,0.85
0,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",100,20,7,0.35
0,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",-100,20,20,1
0,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",-50,20,19,0.95
0,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",0,40,20,0.5
0,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",50,20,0,0
0,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",100,20,0,0
0,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",-100,20,20,1
0,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",-50,20,19,0.95
0,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",0,40,18,0.45
0,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",50,20,2,0.1
0,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",100,20,0,0
0,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",-100,20,19,0.95
0,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",-50,20,19,0.95
0,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",0,40,20,0.5
0,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",50,20,0,0
0,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",100,20,0,0
0,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",-100,20,20,1
0,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",-50,20,19,0.95
0,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",0,40,26,0.65
0,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",50,20,8,0.4
0,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",100,20,1,0.05
1,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",-100,20,20,1
1,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",-50,20,15,0.75
1,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",0,40,19,0.475
1,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",50,20,2,0.1
1,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",100,20,0,0
1,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",-100,20,20,1
1,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",-50,20,20,1
1,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",0,40,39,0.975
1,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",50,20,19,0.95
1,1,"probe color RGB (152,152,152) other elements RGB (88,88,88)",100,20,11,0.55
1,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",-100,20,20,1
1,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",-50,20,20,1
1,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",0,40,39,0.975
1,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",50,20,19,0.95
1,2,"probe color RGB (192,192,192) other elements RGB (88,88,88)",100,20,15,0.75
1,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",-100,20,20,1
1,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",-50,20,20,1
1,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",0,40,39,0.975
1,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",50,20,19,0.95
1,3,"probe color RGB (224,224,224) other elements RGB (88,88,88)",100,20,18,0.9
1,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",-100,20,20,1
1,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",-50,20,15,0.75
1,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",0,40,19,0.475
1,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",50,20,6,0.3
1,4,"probe color RGB (224,224,224) other elements RGB (224,224,224)",100,20,1,0.05
1,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",-100,20,19,0.95
1,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",-50,20,15,0.75
1,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",0,40,17,0.425
1,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",50,20,4,0.2
1,5,"probe color RGB (192,192,192) other elements RGB (224,224,224)",100,20,0,0
1,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",-100,20,19,0.95
1,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",-50,20,16,0.8
1,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",0,40,19,0.475
1,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",50,20,4,0.2
1,6,"probe color RGB (152,152,152) other elements RGB (224,224,224)",100,20,2,0.1
1,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",-100,20,20,1
1,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",-50,20,20,1
1,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",0,40,32,0.8
1,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",50,20,14,0.7
1,7,"probe color RGB (88,88,88) other elements RGB (224,224,224)",100,20,6,0.3
2,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",-100,20,19,0.95
2,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",-50,20,20,1
2,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",0,40,21,0.525
2,0,"probe color RGB (88,88,88) other elements RGB (88,88,88)",50,20,0,0
