Participant,Condition,Condition_name,SOA,Repetitions,Count,Relative
0,0,low salience on probe,100,24,0,0.0
0,0,low salience on probe,80,24,1,0.04166666666666696
0,0,low salience on probe,60,32,1,0.03125
0,0,low salience on probe,40,32,0,0.0
0,0,low salience on probe,20,48,5,0.10416666666666696
0,0,low salience on probe,0,48,17,0.35416666666666696
0,0,low salience on probe,-20,48,21,0.4375
0,0,low salience on probe,-40,32,16,0.5
0,0,low salience on probe,-60,32,21,0.65625
0,0,low salience on probe,-80,24,18,0.75
0,0,low salience on probe,-100,24,20,0.833333333333333
0,1,high salience on probe,100,24,2,0.08333333333333304
0,1,high salience on probe,80,24,1,0.04166666666666696
0,1,high salience on probe,60,32,2,0.0625
0,1,high salience on probe,40,32,5,0.15625
0,1,high salience on probe,20,48,13,0.27083333333333304
0,1,high salience on probe,0,48,26,0.5416666666666671
0,1,high salience on probe,-20,48,24,0.5
0,1,high salience on probe,-40,32,20,0.625
0,1,high salience on probe,-60,32,27,0.84375
0,1,high salience on probe,-80,24,23,0.9583333333333333
0,1,high salience on probe,-100,24,22,0.9166666666666667
1,0,low salience on probe,100,24,1,0.04166666666666696
1,0,low salience on probe,80,24,0,0.0
1,0,low salience on probe,60,32,0,0.0
1,0,low salience on probe,40,32,8,0.25
1,0,low salience on probe,20,48,13,0.27083333333333304
1,0,low salience on probe,0,48,32,0.666666666666667
1,0,low salience on probe,-20,48,34,0.708333333333333
1,0,low salience on probe,-40,32,23,0.71875
1,0,low salience on probe,-60,32,31,0.96875
1,0,low salience on probe,-80,24,22,0.9166666666666667
1,0,low salience on probe,-100,24,24,1.0
1,1,high salience on probe,100,24,0,0.0
1,1,high salience on probe,80,24,3,0.125
1,1,high salience on probe,60,32,0,0.0
1,1,high salience on probe,40,32,8,0.25
1,1,high salience on probe,20,48,20,0.41666666666666696
1,1,high salience on probe,0,48,34,0.708333333333333
1,1,high salience on probe,-20,48,39,0.8125
1,1,high salience on probe,-40,32,26,0.8125
1,1,high salience on probe,-60,32,30,0.9375
1,1,high salience on probe,-80,24,22,0.9166666666666667
1,1,high salience on probe,-100,24,24,1.0
2,0,low salience on probe,100,24,0,0.0
2,0,low salience on probe,80,24,2,0.08333333333333304
2,0,low salience on probe,60,32,4,0.125
2,0,low salience on probe,40,32,7,0.21875
2,0,low salience on probe,20,48,18,0.375
2,0,low salience on probe,0,48,27,0.5625
2,0,low salience on probe,-20,48,34,0.708333333333333
2,0,low salience on probe,-40,32,30,0.9375
2,0,low salience on probe,-60,32,31,0.96875
2,0,low salience on probe,-80,24,23,0.9583333333333333
2,0,low salience on probe,-100,24,24,1.0
2,1,high salience on probe,100,24,0,0.0
2,1,high salience on probe,80,24,2,0.08333333333333304
2,1,high salience on probe,60,32,5,0.15625
2,1,high salience on probe,40,32,11,0.34375
2,1,high salience on probe,20,48,28,0.5833333333333329
2,1,high salience on probe,0,48,28,0.5833333333333329
2,1,high salience on probe,-20,48,41,0.854166666666667
2,1,high salience on probe,-40,32,28,0.875
2,1,high salience on probe,-60,32,30,0.9375
2,1,high salience on probe,-80,24,23,0.9583333333333333
2,1,high salience on probe,-100,24,24,1.0
3,0,low salience on probe,100,24,3,0.125
3,0,low salience on probe,80,24,5,0.20833333333333304
3,0,low salience on probe,60,32,10,0.3125
3,0,low salience on probe,40,32,22,0.6875
3,0,low salience on probe,20,48,45,0.9375
3,0,low salience on probe,0,48,39,0.8125
3,0,low salience on probe,-20,48,43,0.895833333333333
3,0,low salience on probe,-40,32,32,1.0
3,0,low salience on probe,-60,32,31,0.96875
3,0,low salience on probe,-80,24,24,1.0
3,0,low salience on probe,-100,24,24,1.0
3,1,high salience on probe,100,24,8,0.33333333333333304
3,1,high salience on probe,80,24,12,0.5
3,1,high salience on probe,60,32,19,0.59375
3,1,high salience on probe,40,32,22,0.6875
3,1,high salience on probe,20,48,44,0.9166666666666667
3,1,high salience on probe,0,48,42,0.875
3,1,high salience on probe,-20,48,47,0.9791666666666667
3,1,high salience on probe,-40,32,31,0.96875
3,1,high salience on probe,-60,32,32,1.0
3,1,high salience on probe,-80,24,22,0.9166666666666667
3,1,high salience on probe,-100,24,23,0.9583333333333333
4,0,low salience on probe,100,24,6,0.25
4,0,low salience on probe,80,24,6,0.25
4,0,low salience on probe,60,32,9,0.28125
4,0,low salience on probe,40,32,20,0.625
4,0,low salience on probe,20,48,39,0.8125
4,0,low salience on probe,0,48,41,0.854166666666667
4,0,low salience on probe,-20,48,36,0.75
4,0,low salience on probe,-40,32,29,0.90625
4,0,low salience on probe,-60,32,30,0.9375
4,0,low salience on probe,-80,24,23,0.9583333333333333
4,0,low salience on probe,-100,24,24,1.0
4,1,high salience on probe,100,24,6,0.25
4,1,high salience on probe,80,24,8,0.33333333333333304
4,1,high salience on probe,60,32,13,0.40625
4,1,high salience on probe,40,32,19,0.59375
4,1,high salience on probe,20,48,36,0.75
4,1,high salience on probe,0,48,41,0.854166666666667
4,1,high salience on probe,-20,48,43,0.895833333333333
4,1,high salience on probe,-40,32,27,0.84375
4,1,high salience on probe,-60,32,31,0.96875
4,1,high salience on probe,-80,24,22,0.9166666666666667
4,1,high salience on probe,-100,24,23,0.9583333333333333
5,0,low salience on probe,100,24,4,0.16666666666666696
5,0,low salience on probe,80,24,11,0.4583333333333329
5,0,low salience on probe,60,32,3,0.09375
5,0,low salience on probe,40,32,6,0.1875
5,0,low salience on probe,20,48,11,0.22916666666666696
5,0,low salience on probe,0,48,14,0.29166666666666696
5,0,low salience on probe,-20,48,19,0.39583333333333304
5,0,low salience on probe,-40,32,25,0.78125
5,0,low salience on probe,-60,32,28,0.875
5,0,low salience on probe,-80,24,23,0.9583333333333333
5,0,low salience on probe,-100,24,23,0.9583333333333333
5,1,high salience on probe,100,24,3,0.125
5,1,high salience on probe,80,24,5,0.20833333333333304
5,1,high salience on probe,60,32,7,0.21875
5,1,high salience on probe,40,32,6,0.1875
5,1,high salience on probe,20,48,11,0.22916666666666696
5,1,high salience on probe,0,48,12,0.25
5,1,high salience on probe,-20,48,25,0.5208333333333329
5,1,high salience on probe,-40,32,22,0.6875
5,1,high salience on probe,-60,32,29,0.90625
5,1,high salience on probe,-80,24,19,0.791666666666667
5,1,high salience on probe,-100,24,24,1.0
6,0,low salience on probe,100,24,0,0.0
6,0,low salience on probe,80,24,0,0.0
6,0,low salience on probe,60,32,1,0.03125
6,0,low salience on probe,40,32,1,0.03125
6,0,low salience on probe,20,48,5,0.10416666666666696
6,0,low salience on probe,0,48,13,0.27083333333333304
6,0,low salience on probe,-20,48,27,0.5625
6,0,low salience on probe,-40,32,21,0.65625
6,0,low salience on probe,-60,32,30,0.9375
6,0,low salience on probe,-80,24,18,0.75
6,0,low salience on probe,-100,24,22,0.9166666666666667
6,1,high salience on probe,100,24,3,0.125
6,1,high salience on probe,80,24,3,0.125
6,1,high salience on probe,60,32,3,0.09375
6,1,high salience on probe,40,32,5,0.15625
6,1,high salience on probe,20,48,14,0.29166666666666696
6,1,high salience on probe,0,48,16,0.33333333333333304
6,1,high salience on probe,-20,48,26,0.5416666666666671
6,1,high salience on probe,-40,32,23,0.71875
6,1,high salience on probe,-60,32,29,0.90625
6,1,high salience on probe,-80,24,22,0.9166666666666667
6,1,high salience on probe,-100,24,23,0.9583333333333333
7,0,low salience on probe,100,24,6,0.25
7,0,low salience on probe,80,24,0,0.0
7,0,low salience on probe,60,32,4,0.125
7,0,low salience on probe,40,32,6,0.1875
7,0,low salience on probe,20,48,20,0.41666666666666696
7,0,low salience on probe,0,48,22,0.4583333333333329
7,0,low salience on probe,-20,48,29,0.6041666666666671
7,0,low salience on probe,-40,32,24,0.75
