Participant,Condition,Condition_name,SOA,Repetitions,Count,Relative
0,0,experimental (probe salient),100,24,0,0.0
0,0,experimental (probe salient),80,24,3,0.125
0,0,experimental (probe salient),60,32,3,0.09375
0,0,experimental (probe salient),40,32,9,0.28125
0,0,experimental (probe salient),20,48,14,0.29166666666666696
0,0,experimental (probe salient),0,48,26,0.5416666666666671
0,0,experimental (probe salient),-20,48,37,0.770833333333333
0,0,experimental (probe salient),-40,32,22,0.6875
0,0,experimental (probe salient),-60,32,30,0.9375
0,0,experimental (probe salient),-80,24,23,0.9583333333333333
0,0,experimental (probe salient),-100,24,24,1.0
0,1,neutral (probe nonsalient),100,24,0,0.0
0,1,neutral (probe nonsalient),80,24,0,0.0
0,1,neutral (probe nonsalient),60,32,2,0.0625
0,1,neutral (probe nonsalient),40,32,1,0.03125
0,1,neutral (probe nonsalient),20,48,10,0.20833333333333304
0,1,neutral (probe nonsalient),0,48,8,0.16666666666666696
0,1,neutral (probe nonsalient),-20,48,22,0.4583333333333329
0,1,neutral (probe nonsalient),-40,32,21,0.65625
0,1,neutral (probe nonsalient),-60,32,24,0.75
0,1,neutral (probe nonsalient),-80,24,22,0.9166666666666667
0,1,neutral (probe nonsalient),-100,24,16,0.666666666666667
1,0,experimental (probe salient),100,24,9,0.375
1,0,experimental (probe salient),80,24,5,0.20833333333333304
1,0,experimental (probe salient),60,32,9,0.28125
1,0,experimental (probe salient),40,32,12,0.375
1,0,experimental (probe salient),20,48,25,0.5208333333333329
1,0,experimental (probe salient),0,48,22,0.4583333333333329
1,0,experimental (probe salient),-20,48,30,0.625
1,0,experimental (probe salient),-40,32,20,0.625
1,0,experimental (probe salient),-60,32,24,0.75
1,0,experimental (probe salient),-80,24,20,0.833333333333333
1,0,experimental (probe salient),-100,24,21,0.875
1,1,neutral (probe nonsalient),100,24,12,0.5
1,1,neutral (probe nonsalient),80,24,11,0.4583333333333329
1,1,neutral (probe nonsalient),60,32,14,0.4375
1,1,neutral (probe nonsalient),40,32,18,0.5625
1,1,neutral (probe nonsalient),20,48,34,0.708333333333333
1,1,neutral (probe nonsalient),0,48,33,0.6875
1,1,neutral (probe nonsalient),-20,48,37,0.770833333333333
1,1,neutral (probe nonsalient),-40,32,26,0.8125
1,1,neutral (probe nonsalient),-60,32,27,0.84375
1,1,neutral (probe nonsalient),-80,24,23,0.9583333333333333
1,1,neutral (probe nonsalient),-100,24,24,1.0
2,0,experimental (probe salient),100,24,0,0.0
2,0,experimental (probe salient),80,24,0,0.0
2,0,experimental (probe salient),60,32,0,0.0
2,0,experimental (probe salient),40,32,2,0.0625
2,0,experimental (probe salient),20,48,13,0.27083333333333304
2,0,experimental (probe salient),0,48,22,0.4583333333333329
2,0,experimental (probe salient),-20,48,40,0.833333333333333
2,0,experimental (probe salient),-40,32,30,0.9375
2,0,experimental (probe salient),-60,32,32,1.0
2,0,experimental (probe salient),-80,24,23,0.9583333333333333
2,0,experimental (probe salient),-100,24,24,1.0
2,1,neutral (probe nonsalient),100,24,0,0.0
2,1,neutral (probe nonsalient),80,24,0,0.0
2,1,neutral (probe nonsalient),60,32,1,0.03125
2,1,neutral (probe nonsalient),40,32,0,0.0
2,1,neutral (probe nonsalient),20,48,8,0.16666666666666696
2,1,neutral (probe nonsalient),0,48,21,0.4375
2,1,neutral (probe nonsalient),-20,48,27,0.5625
2,1,neutral (probe nonsalient),-40,32,27,0.84375
2,1,neutral (probe nonsalient),-60,32,31,0.96875
2,1,neutral (probe nonsalient),-80,24,24,1.0
2,1,neutral (probe nonsalient),-100,24,24,1.0
3,0,experimental (probe salient),100,24,5,0.20833333333333304
3,0,experimental (probe salient),80,24,10,0.41666666666666696
3,0,experimental (probe salient),60,32,9,0.28125
3,0,experimental (probe salient),40,32,10,0.3125
3,0,experimental (probe salient),20,48,22,0.4583333333333329
3,0,experimental (probe salient),0,48,24,0.5
3,0,experimental (probe salient),-20,48,31,0.6458333333333329
3,0,experimental (probe salient),-40,32,26,0.8125
3,0,experimental (probe salient),-60,32,29,0.90625
3,0,experimental (probe salient),-80,24,20,0.833333333333333
3,0,experimental (probe salient),-100,24,24,1.0
3,1,neutral (probe nonsalient),100,24,1,0.04166666666666696
3,1,neutral (probe nonsalient),80,24,4,0.16666666666666696
