,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
theta[214],0.754,0.027,0.704,0.804,0.0,0.0,21975.0,21759.0,21792.0,14959.0,1.0
theta[215],0.905,0.024,0.86,0.95,0.0,0.0,22377.0,22251.0,21809.0,13580.0,1.0
theta[216],0.962,0.016,0.933,0.989,0.0,0.0,22837.0,22835.0,22097.0,14080.0,1.0
theta[217],0.985,0.009,0.968,0.998,0.0,0.0,22564.0,22564.0,22260.0,13822.0,1.0
theta[218],0.994,0.005,0.985,1.0,0.0,0.0,21844.0,21844.0,22361.0,13957.0,1.0
theta[219],0.997,0.003,0.993,1.0,0.0,0.0,20944.0,20944.0,22425.0,13969.0,1.0
theta[220],0.041,0.014,0.017,0.067,0.0,0.0,26828.0,20616.0,29665.0,13964.0,1.0
theta[221],0.069,0.019,0.035,0.104,0.0,0.0,27974.0,22890.0,29780.0,13944.0,1.0
theta[222],0.116,0.025,0.071,0.163,0.0,0.0,29008.0,25424.0,29940.0,14022.0,1.0
theta[223],0.197,0.03,0.141,0.253,0.0,0.0,29863.0,27957.0,30163.0,13873.0,1.0
theta[224],0.337,0.031,0.278,0.396,0.0,0.0,30179.0,29727.0,30201.0,13972.0,1.0
theta[225],0.577,0.03,0.521,0.631,0.0,0.0,26369.0,26292.0,26365.0,16376.0,1.0
theta[226],0.796,0.032,0.736,0.857,0.0,0.0,24653.0,24510.0,24466.0,14352.0,1.0
theta[227],0.901,0.026,0.855,0.949,0.0,0.0,24612.0,24612.0,24346.0,14359.0,1.0
theta[228],0.951,0.018,0.919,0.982,0.0,0.0,24347.0,24347.0,24327.0,14554.0,1.0
theta[229],0.976,0.011,0.955,0.994,0.0,0.0,23783.0,23783.0,24333.0,14734.0,1.0
theta[230],0.988,0.007,0.976,0.999,0.0,0.0,23001.0,23001.0,24340.0,14825.0,1.0
theta[231],0.011,0.006,0.002,0.021,0.0,0.0,20321.0,15986.0,22798.0,13932.0,1.0
theta[232],0.022,0.01,0.006,0.04,0.0,0.0,21306.0,17412.0,22784.0,13972.0,1.0
theta[233],0.045,0.016,0.017,0.074,0.0,0.0,22186.0,19217.0,22789.0,13792.0,1.0
theta[234],0.095,0.024,0.053,0.141,0.0,0.0,22735.0,21259.0,22789.0,13891.0,1.0
theta[235],0.201,0.031,0.145,0.259,0.0,0.0,23014.0,22824.0,22921.0,14436.0,1.0
theta[236],0.432,0.03,0.377,0.489,0.0,0.0,24354.0,24286.0,24358.0,14683.0,1.0
theta[237],0.682,0.033,0.618,0.744,0.0,0.0,26807.0,26573.0,26740.0,14140.0,1.0
theta[238],0.821,0.031,0.762,0.878,0.0,0.0,26914.0,26904.0,26831.0,14043.0,1.0
theta[239],0.899,0.024,0.851,0.942,0.0,0.0,26596.0,26596.0,26723.0,14334.0,1.0
theta[240],0.942,0.018,0.909,0.975,0.0,0.0,26010.0,26010.0,26634.0,14362.0,1.0
theta[241],0.967,0.013,0.943,0.989,0.0,0.0,25244.0,25244.0,26561.0,14271.0,1.0
theta[242],0.043,0.015,0.017,0.073,0.0,0.0,25037.0,20924.0,26458.0,15225.0,1.0
theta[243],0.069,0.02,0.034,0.107,0.0,0.0,25591.0,22463.0,26392.0,15724.0,1.0
theta[244],0.111,0.025,0.067,0.159,0.0,0.0,25965.0,23962.0,26306.0,15717.0,1.0
theta[245],0.178,0.029,0.123,0.232,0.0,0.0,26104.0,25166.0,26156.0,15675.0,1.0
theta[246],0.286,0.03,0.229,0.343,0.0,0.0,25953.0,25724.0,25914.0,15711.0,1.0
theta[247],0.464,0.028,0.409,0.514,0.0,0.0,26370.0,26357.0,26330.0,14186.0,1.0
theta[248],0.646,0.032,0.587,0.705,0.0,0.0,27873.0,27787.0,27844.0,15024.0,1.0
theta[249],0.766,0.032,0.704,0.826,0.0,0.0,28219.0,28219.0,28220.0,14971.0,1.0
theta[250],0.845,0.029,0.789,0.899,0.0,0.0,28163.0,28163.0,28337.0,14643.0,1.0
theta[251],0.897,0.025,0.85,0.943,0.0,0.0,27865.0,27865.0,28372.0,14374.0,1.0
theta[252],0.931,0.02,0.893,0.968,0.0,0.0,27387.0,27387.0,28396.0,14373.0,1.0
