,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
"vp[1,1]",0.019,0.003,0.014,0.024,0.0,0.0,25478.0,25180.0,25183.0,14580.0,1.0
"vp[2,0]",0.028,0.004,0.021,0.035,0.0,0.0,24182.0,23301.0,24351.0,13878.0,1.0
"vp[2,1]",0.047,0.009,0.032,0.063,0.0,0.0,18930.0,17546.0,20002.0,13721.0,1.0
"vp[3,0]",0.022,0.003,0.017,0.028,0.0,0.0,26400.0,26024.0,26518.0,14939.0,1.0
"vp[3,1]",0.025,0.003,0.018,0.031,0.0,0.0,22267.0,21802.0,22241.0,14956.0,1.0
"vp[4,0]",0.023,0.003,0.017,0.03,0.0,0.0,24317.0,23229.0,24648.0,14208.0,1.0
"vp[4,1]",0.024,0.005,0.015,0.034,0.0,0.0,24211.0,22781.0,24450.0,14792.0,1.0
"vp[5,0]",0.009,0.002,0.006,0.012,0.0,0.0,27535.0,26833.0,27129.0,13784.0,1.0
"vp[5,1]",0.014,0.003,0.009,0.019,0.0,0.0,23497.0,23219.0,23125.0,13699.0,1.0
"vp[6,0]",0.012,0.002,0.008,0.016,0.0,0.0,27049.0,26336.0,26781.0,13799.0,1.0
"vp[6,1]",0.026,0.004,0.019,0.034,0.0,0.0,21756.0,20485.0,22459.0,14437.0,1.0
"vp[7,0]",0.025,0.004,0.019,0.032,0.0,0.0,25467.0,24531.0,25621.0,15219.0,1.0
"vp[7,1]",0.02,0.004,0.014,0.027,0.0,0.0,25897.0,24789.0,26012.0,15578.0,1.0
"vp[8,0]",0.007,0.001,0.004,0.009,0.0,0.0,25187.0,25187.0,24216.0,12380.0,1.0
"vp[8,1]",0.011,0.002,0.007,0.015,0.0,0.0,23418.0,23418.0,22727.0,13298.0,1.0
"vp[9,0]",0.03,0.004,0.022,0.037,0.0,0.0,22308.0,21727.0,22356.0,14157.0,1.0
"vp[9,1]",0.049,0.009,0.033,0.065,0.0,0.0,21117.0,19185.0,22690.0,14380.0,1.0
"vp[10,0]",0.037,0.005,0.027,0.047,0.0,0.0,23617.0,22245.0,24421.0,14740.0,1.0
"vp[10,1]",0.029,0.004,0.022,0.036,0.0,0.0,25742.0,24390.0,26141.0,14000.0,1.0
"vp[11,0]",0.021,0.003,0.016,0.026,0.0,0.0,28145.0,26885.0,28433.0,14104.0,1.0
"vp[11,1]",0.04,0.006,0.029,0.051,0.0,0.0,21841.0,20444.0,22812.0,14336.0,1.0
"vp[12,0]",0.037,0.005,0.028,0.047,0.0,0.0,24038.0,22685.0,24864.0,15025.0,1.0
"vp[12,1]",0.048,0.009,0.032,0.063,0.0,0.0,20783.0,19570.0,21553.0,15130.0,1.0
"vp[13,0]",0.015,0.002,0.011,0.02,0.0,0.0,28318.0,27505.0,28126.0,14530.0,1.0
"vp[13,1]",0.012,0.002,0.008,0.016,0.0,0.0,25894.0,25294.0,25708.0,14111.0,1.0
"vp[14,0]",0.056,0.008,0.041,0.072,0.0,0.0,24630.0,22833.0,25843.0,14572.0,1.0
"vp[14,1]",0.141,0.032,0.083,0.202,0.0,0.0,11618.0,9887.0,11797.0,7240.0,1.0
"vp[15,0]",0.006,0.001,0.003,0.008,0.0,0.0,21188.0,21188.0,20051.0,11380.0,1.0
"vp[15,1]",0.004,0.001,0.002,0.007,0.0,0.0,21068.0,21068.0,19005.0,8467.0,1.0
"vp[16,0]",0.006,0.001,0.004,0.009,0.0,0.0,26535.0,26535.0,25551.0,12539.0,1.0
"vp[16,1]",0.012,0.002,0.008,0.016,0.0,0.0,25329.0,25210.0,24753.0,13275.0,1.0
"vp[17,0]",0.005,0.001,0.002,0.007,0.0,0.0,17061.0,17061.0,16025.0,9086.0,1.0
"vp[17,1]",0.005,0.001,0.002,0.008,0.0,0.0,20616.0,20616.0,19554.0,10981.0,1.0
"vr[0,0]",0.033,0.004,0.026,0.042,0.0,0.0,27451.0,26326.0,27723.0,14747.0,1.0
"vr[0,1]",0.025,0.003,0.019,0.03,0.0,0.0,29262.0,27881.0,29658.0,15505.0,1.0
"vr[1,0]",0.017,0.002,0.013,0.022,0.0,0.0,25243.0,24729.0,25121.0,14267.0,1.0
"vr[1,1]",0.016,0.002,0.012,0.02,0.0,0.0,26585.0,26296.0,26170.0,15070.0,1.0
"vr[2,0]",0.023,0.003,0.018,0.029,0.0,0.0,27993.0,27062.0,27977.0,14097.0,1.0
"vr[2,1]",0.014,0.002,0.011,0.017,0.0,0.0,27311.0,25912.0,27665.0,13341.0,1.0
"vr[3,0]",0.027,0.004,0.02,0.034,0.0,0.0,22610.0,21780.0,22866.0,14396.0,1.0
"vr[3,1]",0.019,0.003,0.015,0.024,0.0,0.0,23826.0,23557.0,23640.0,13929.0,1.0
"vr[4,0]",0.02,0.003,0.015,0.025,0.0,0.0,27566.0,26342.0,27882.0,14804.0,1.0
"vr[4,1]",0.005,0.001,0.003,0.006,0.0,0.0,27993.0,27120.0,27753.0,14744.0,1.0
"vr[5,0]",0.009,0.002,0.006,0.012,0.0,0.0,28249.0,27500.0,27844.0,13625.0,1.0
"vr[5,1]",0.007,0.001,0.005,0.009,0.0,0.0,25928.0,25696.0,25425.0,13973.0,1.0
"vr[6,0]",0.01,0.002,0.007,0.013,0.0,0.0,26963.0,26351.0,26591.0,14124.0,1.0
"vr[6,1]",0.015,0.002,0.011,0.019,0.0,0.0,27574.0,26535.0,27665.0,13742.0,1.0
"vr[7,0]",0.021,0.003,0.016,0.025,0.0,0.0,28343.0,27568.0,28327.0,14679.0,1.0
"vr[7,1]",0.008,0.001,0.005,0.01,0.0,0.0,30636.0,29669.0,30369.0,15017.0,1.0
"vr[8,0]",0.007,0.001,0.004,0.009,0.0,0.0,26262.0,26262.0,25238.0,12538.0,1.0
"vr[8,1]",0.007,0.001,0.005,0.009,0.0,0.0,24012.0,24012.0,23293.0,13004.0,1.0
"vr[9,0]",0.027,0.003,0.021,0.033,0.0,0.0,23017.0,22444.0,23121.0,14796.0,1.0
"vr[9,1]",0.016,0.002,0.012,0.019,0.0,0.0,28743.0,27471.0,29099.0,14969.0,1.0
"vr[10,0]",0.027,0.003,0.021,0.033,0.0,0.0,28922.0,27927.0,29024.0,14281.0,1.0
"vr[10,1]",0.039,0.005,0.029,0.049,0.0,0.0,22508.0,21580.0,22875.0,13741.0,1.0
"vr[11,0]",0.024,0.003,0.018,0.03,0.0,0.0,26593.0,25518.0,26805.0,14976.0,1.0
"vr[11,1]",0.025,0.003,0.019,0.031,0.0,0.0,28560.0,27543.0,28645.0,14603.0,1.0
"vr[12,0]",0.031,0.004,0.024,0.038,0.0,0.0,26120.0,24854.0,26585.0,13126.0,1.0
"vr[12,1]",0.014,0.002,0.011,0.018,0.0,0.0,29720.0,28806.0,29785.0,14907.0,1.0
"vr[13,0]",0.015,0.002,0.011,0.02,0.0,0.0,28043.0,27077.0,28027.0,14599.0,1.0
"vr[13,1]",0.008,0.001,0.005,0.01,0.0,0.0,26712.0,26251.0,26342.0,13795.0,1.0
"vr[14,0]",0.05,0.007,0.038,0.063,0.0,0.0,27078.0,24835.0,28413.0,13302.0,1.0
"vr[14,1]",0.024,0.003,0.018,0.029,0.0,0.0,21201.0,20663.0,21305.0,15605.0,1.0
"vr[15,0]",0.005,0.001,0.003,0.008,0.0,0.0,21521.0,21521.0,20408.0,10540.0,1.0
"vr[15,1]",0.003,0.001,0.001,0.005,0.0,0.0,21530.0,21530.0,19256.0,8320.0,1.0
"vr[16,0]",0.007,0.002,0.004,0.01,0.0,0.0,26486.0,26486.0,25518.0,12760.0,1.0
"vr[16,1]",0.008,0.001,0.005,0.01,0.0,0.0,28412.0,28412.0,27577.0,12870.0,1.0
"vr[17,0]",0.005,0.001,0.002,0.007,0.0,0.0,16854.0,16854.0,15901.0,9411.0,1.0
"vr[17,1]",0.004,0.001,0.002,0.006,0.0,0.0,21789.0,21789.0,20765.0,11181.0,1.0
vp_mean[0],21.794,0.869,20.166,23.422,0.006,0.004,24840.0,24632.0,24977.0,14854.0,1.0
vp_mean[1],31.34,2.105,27.633,35.456,0.018,0.013,13421.0,12952.0,13858.0,10107.0,1.0
vr_mean[0],19.974,0.74,18.574,21.358,0.004,0.003,27594.0,27431.0,27645.0,14773.0,1.0
vr_mean[1],14.13,0.533,13.118,15.116,0.003,0.002,25259.0,25169.0,25315.0,16390.0,1.0
